Time,Target,TargetPos,TargetScale,InitialHit,AvgGazeHit,CenterError,EyeToTargetDistance,ValidFrames,ExpectedFrames,GazeHitRate,InitialHit%,AvgGaze%

--- New Session: 7/2/2025 2:34:57 PM ---
12.8645,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.55 1.91 19.99,7.54 1.90 20.00,0.4919,14.0899,2,224,0.01,96.9,98.4
17.8771,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
22.8890,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.71 3.89 19.97,9.80 3.94 19.96,0.2745,14.1210,215,217,0.99,70.1,54.9
27.9012,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,11.97 6.35 19.98,11.99 6.36 19.98,0.4373,14.7502,124,212,0.58,86.8,87.5
32.9129,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.58 3.69 19.99,7.58 3.73 19.98,0.4595,14.2557,65,221,0.29,95.2,91.9
37.9250,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.58 1.74 20.00,9.62 1.81 19.98,0.4451,13.9611,165,216,0.76,97.1,89.0
42.9375,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,11.91 1.60 19.96,11.94 1.63 19.96,0.2862,14.1286,215,216,1.00,66.2,57.2
47.9495,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.02 4.00 19.95,12.07 3.95 19.95,0.1042,14.2995,215,237,0.91,32.9,20.8
52.9606,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.72 6.27 19.98,9.75 6.32 19.99,0.4780,14.5915,13,222,0.06,91.6,95.6

--- New Session: 7/2/2025 2:35:47 PM ---
62.4954,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.66 2.04 19.98,7.57 1.88 19.99,0.4687,14.1006,12,218,0.06,85.6,93.7
67.5075,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.62 6.07 19.98,7.61 6.08 19.98,0.4399,14.7248,21,217,0.10,84.7,88.0
72.5198,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.57 3.94 20.00,9.64 3.99 19.98,0.4353,14.1298,199,217,0.92,99.2,87.1
77.5315,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.03 6.11 19.95,12.04 6.27 19.96,0.3271,14.7572,214,221,0.97,40.6,65.4
